Book,Page,Chapter Name,POV,Character,Gender,Alive?,Title,Forename,Surname,Old Surname,Alias,Regnal No
A Game of Thrones,22,Catelyn I,Catelyn Tully,Lord Hoster Tully,M,D,Lord,Hoster,Tully,,,
A Game of Thrones,22,Catelyn I,Catelyn Tully,Grand Maester Pycelle,M,D,Grand Maester,Pycelle,,,,
A Game of Thrones,22,Catelyn I,Catelyn Tully,Robert Arryn,M,A,,Robert,Arryn,,Sweetrobin,
A Game of Thrones,23,Catelyn I,Catelyn Tully,"Ser Brynden Tully, Blackfish",M,A,Ser,Brynden,Tully,,Blackfish,
A Game of Thrones,23,Catelyn I,Catelyn Tully,Benjen Stark,M,U,,Benjen,Stark,,,
A Game of Thrones,23,Catelyn I,Catelyn Tully,Lady Lysa Arryn (Tully),F,D,Lady,Lysa,Arryn,Tully,,
A Game of Thrones,23,Catelyn I,Catelyn Tully,Queen Cersei Lannister,F,A,Queen,Cersei,Lannister,,,
A Game of Thrones,24,Catelyn I,Catelyn Tully,Prince Tommen Baratheon,M,A,Prince,Tommen,Baratheon,,,
A Game of Thrones,25,Daenerys I,Daenerys Targaryen,"Princess Daenerys Targaryen, Stormborn",F,A,Princess,Daenerys,Targaryen,,Stormborn,
A Game of Thrones,25,Daenerys I,Daenerys Targaryen,Magister Illyrio Mopatis,M,A,Magister,Illyrio,Mopatis,,,
A Game of Thrones,25,Daenerys I,Daenerys Targaryen,"Prince Viserys Targaryen, The Beggar King",M,D,Prince,Viserys,Targaryen,,The Beggar King,
A Game of Thrones,26,Daenerys I,Daenerys Targaryen,Khal Drogo,M,D,Khal,Drogo,,,,
A Game of Thrones,27,Daenerys I,Daenerys Targaryen,Prince Rhaegar Targaryen,M,D,Prince,Rhaegar,Targaryen,,,
A Game of Thrones,27,Daenerys I,Daenerys Targaryen,Princess Elia Martell,F,D,Princess,Elia,Martell,,,
A Game of Thrones,27,Daenerys I,Daenerys Targaryen,Ser Willem Darry,M,D,Ser,Willem,Darry,,,
A Game of Thrones,29,Daenerys I,Daenerys Targaryen,"King Aegon I Targaryen, The Conqueror/The Dragon",M,D,King,Aegon,Targaryen,,The Conqueror/The Dragon,I
A Game of Thrones,33,Daenerys I,Daenerys Targaryen,Khal Moro,M,A,Khal,Moro,,,,
A Game of Thrones,33,Daenerys I,Daenerys Targaryen,Khalakka Rhogoro,M,A,Khalakka,Rhogoro,,,,
A Game of Thrones,33,Daenerys I,Daenerys Targaryen,Ser Jorah Mormont,M,A,Ser,Jorah,Mormont,,,
A Game of Thrones,36,Eddard I,Eddard Stark,"Ser Jaime Lannister, Kingslayer",M,A,Ser,Jaime,Lannister,,Kingslayer,
A Game of Thrones,36,Eddard I,Eddard Stark,"Sandor Clegane, The Hound",M,U,,Sandor,Clegane,,The Hound,
A Game of Thrones,36,Eddard I,Eddard Stark,"Tyrion Lannister, The Imp",M,A,,Tyrion,Lannister,,The Imp,
A Game of Thrones,37,Eddard I,Eddard Stark,Lord Balon Greyjoy,M,D,Lord,Balon,Greyjoy,,,
A Game of Thrones,40,Eddard I,Eddard Stark,Lord Rickard Stark,M,D,Lord,Rickard,Stark,,,
A Game of Thrones,40,Eddard I,Eddard Stark,Lyanna Stark,F,D,,Lyanna,Stark,,,
A Game of Thrones,40,Eddard I,Eddard Stark,Lord Howland Reed,M,A,Lord,Howland,Reed,,,
A Game of Thrones,41,Eddard I,Eddard Stark,Lord Tywin Lannister,M,D,Lord,Tywin,Lannister,,,
A Game of Thrones,45,Eddard I,Eddard Stark,Prince Joffrey Baratheon,M,D,Prince,Joffrey,Baratheon,,,
A Game of Thrones,47,Jon I,Jon Snow,Princess Myrcella Baratheon,F,A,Princess,Myrcella,Baratheon,,,
A Game of Thrones,51,Jon I,Jon Snow,"Prince Daeron Targaryen, The Drunken",M,D,Prince,Daeron,Targaryen,,The Drunken,
A Game of Thrones,55,Catelyn II,Catelyn Tully,Ser Edmure Tully,M,A,Ser,Edmure,Tully,,,
A Game of Thrones,56,Catelyn II,Catelyn Tully,"Brandon Stark, Brother of Eddard",M,D,,Brandon,Stark,,Brother of Eddard,
A Game of Thrones,62,Catelyn II,Catelyn Tully,"Ser Arthur Dayne, Sword of the Morning",M,D,Ser,Arthur,Dayne,,Sword of the Morning,
A Game of Thrones,62,Catelyn II,Catelyn Tully,Lady Ashara Dayne,F,D,Lady,Ashara,Dayne,,,
A Game of Thrones,64,Arya I,Arya Stark,Septa Mordane,F,D,Septa,Mordane,,,,
A Game of Thrones,64,Arya I,Arya Stark,Beth Cassel,F,A,,Beth,Cassel,,,
A Game of Thrones,69,Arya I,Arya Stark,Lew,M,U,,Lew,,,,
A Game of Thrones,69,Arya I,Arya Stark,Donnis,M,U,,Donnis,,,,
A Game of Thrones,73,Bran II,Bran Stark,"Ser Serwyn, Of the Mirror Shield",M,D,Ser,Serwyn,,,Of the Mirror Shield,
A Game of Thrones,73,Bran II,Bran Stark,Ser Ryam Redwyne,M,D,Ser,Ryam,Redwyne,,,
A Game of Thrones,73,Bran II,Bran Stark,"Prince Aemon Targaryen, The Dragonknight",M,D,Prince,Aemon,Targaryen,,The Dragonknight,
A Game of Thrones,73,Bran II,Bran Stark,Ser Erryk Cargyll,M,D,Ser,Erryk,Cargyll,,,
A Game of Thrones,73,Bran II,Bran Stark,Ser Arryk Cargyll,M,D,Ser,Arryk,Cargyll,,,
A Game of Thrones,73,Bran II,Bran Stark,"Ser Gerold Hightower, The White Bull",M,D,Ser,Gerold,Hightower,,The White Bull,
A Game of Thrones,73,Bran II,Bran Stark,Ser Barristan Selmy,M,A,Ser,Barristan,Selmy,,,
A Game of Thrones,73,Bran II,Bran Stark,Ser Boros Blount,M,A,Ser,Boros,Blount,,,
A Game of Thrones,73,Bran II,Bran Stark,Gage,M,U,,Gage,,,,
A Game of Thrones,73,Bran II,Bran Stark,Mikken,M,D,,Mikken,,,,
A Game of Thrones,73,Bran II,Bran Stark,"Walder, Hodor",M,A,,Walder,,,Hodor,
A Game of Thrones,78,Bran II,Bran Stark,Stannis Baratheon,M,U,,Stannis,Baratheon,,,
A Game of Thrones,78,Bran II,Bran Stark,Renly Baratheon,M,D,,Renly,Baratheon,,,
A Game of Thrones,78,Bran II,Bran Stark,"Lord Petyr Baelish, Littlefinger",M,A,Lord,Petyr,Baelish,,Littlefinger,
A Game of Thrones,82,Tyrion I,Tyrion Lannister,Grand Maester Aethelmure,M,D,Grand Maester,Aethelmure,,,,
A Game of Thrones,82,Tyrion I,Tyrion Lannister,Septon Chayle,M,D,Septon,Chayle,,,,
A Game of Thrones,82,Tyrion I,Tyrion Lannister,Ayrmidon,M,D,,Ayrmidon,,,,
A Game of Thrones,98,Daenerys II,Daenerys Targaryen,Irri,F,A,,Irri,,,,
A Game of Thrones,98,Daenerys II,Daenerys Targaryen,Jhiqui,F,A,,Jhiqui,,,,
A Game of Thrones,98,Daenerys II,Daenerys Targaryen,Doreah,F,D,,Doreah,,,,
A Game of Thrones,99,Daenerys II,Daenerys Targaryen,Haggo,M,D,,Haggo,,,,
A Game of Thrones,99,Daenerys II,Daenerys Targaryen,Ko Cohollo,M,D,Ko,Cohollo,,,,
A Game of Thrones,99,Daenerys II,Daenerys Targaryen,Qotho,M,D,,Qotho,,,,
A Game of Thrones,104,Eddard II,Eddard Stark,"Alyn, Guard at Winterfell",M,D,,Alyn,,,Guard at Winterfell,
A Game of Thrones,105,Eddard II,Eddard Stark,Wylla,F,U,,Wylla,,,,
A Game of Thrones,106,Eddard II,Eddard Stark,"King Baelor I Targaryen, The Blessed",M,D,King,Baelor,Targaryen,,The Blessed,I
A Game of Thrones,106,Eddard II,Eddard Stark,"Varys, The Spider",M,A,,Varys,,,The Spider,
A Game of Thrones,114,Tyrion II,Tyrion Lannister,Yoren,M,D,,Yoren,,,,
A Game of Thrones,117,Tyrion II,Tyrion Lannister,"King Loren, Of the Rock",M,D,King,Loren,,,Of the Rock,
A Game of Thrones,117,Tyrion II,Tyrion Lannister,"King Mern, Of the Reach",M,D,King,Mern,,,Of the Reach,
A Game of Thrones,121,Tyrion II,Tyrion Lannister,Morrec,M,D,,Morrec,,,,
A Game of Thrones,123,Catelyn III,Catelyn Tully,Vayon Poole,M,D,,Vayon,Poole,,,
A Game of Thrones,128,Catelyn III,Catelyn Tully,Hallis Mollen,M,U,,Hallis,Mollen,,,
A Game of Thrones,134,Sansa I,Sansa Stark,Mycah,M,D,,Mycah,,,,
A Game of Thrones,140,Sansa I,Sansa Stark,Ser Ilyn Payne,M,A,Ser,Ilyn,Payne,,,
A Game of Thrones,141,Sansa I,Sansa Stark,Princess Daeryssa,F,F,Princess,Daeryssa,,,,
A Game of Thrones,142,Sansa I,Sansa Stark,Queen Naerys Targaryen,F,D,Queen,Naerys,Targaryen,,,
A Game of Thrones,142,Sansa I,Sansa Stark,Ser Morgil,M,D,Ser,Morgil,,,,
A Game of Thrones,148,Eddard III,Eddard Stark,Lord Raymun Darry,M,D,Lord,Raymun,Darry,,,
A Game of Thrones,159,Catelyn IV,Catelyn Tully,Captain Moreo Tumitis,M,A,Captain,Moreo,Tumitis,,,
A Game of Thrones,160,Catelyn IV,Catelyn Tully,Ser Aron Santagar,M,D,Ser,Aron,Santagar,,,
A Game of Thrones,162,Catelyn IV,Catelyn Tully,"King Maegor I Targaryen, The Cruel",M,D,King,Maegor,Targaryen,,The Cruel,I
A Game of Thrones,169,Catelyn IV,Catelyn Tully,"Ser Loras Tyrell, Knight of Flowers",M,U,Ser,Loras,Tyrell,,Knight of Flowers,
A Game of Thrones,170,Jon III,Jon Snow,"Grenn, Aurochs",M,A,,Grenn,,,Aurochs,
A Game of Thrones,170,Jon III,Jon Snow,Ser Alliser Thorne,M,U,Ser,Alliser,Thorne,,,
A Game of Thrones,170,Jon III,Jon Snow,Jeren,M,U,,Jeren,,,,
A Game of Thrones,170,Jon III,Jon Snow,"Todder, Toad",M,A,,Todder,,,Toad,
A Game of Thrones,171,Jon III,Jon Snow,Dareon,M,D,,Dareon,,,,
A Game of Thrones,171,Jon III,Jon Snow,"Pypar, Pyp",M,A,,Pypar,,,Pyp,
A Game of Thrones,171,Jon III,Jon Snow,"Halder, Stone Head",M,A,,Halder,,,Stone Head,
A Game of Thrones,172,Jon III,Jon Snow,"Lord Commander Jeor Mormont, The Old Bear",M,D,Lord Commander,Jeor,Mormont,,The Old Bear,
A Game of Thrones,172,Jon III,Jon Snow,Maester Aemon (Targaryen),M,D,Maester,Aemon,,Targaryen,,
A Game of Thrones,174,Jon III,Jon Snow,Donal Noye,M,D,,Donal,Noye,,,
A Game of Thrones,175,Jon III,Jon Snow,Cotter Pyke,M,A,,Cotter,Pyke,,,
A Game of Thrones,178,Jon III,Jon Snow,Bowen Marsh,M,A,,Bowen,Marsh,,,
A Game of Thrones,188,Eddard IV,Eddard Stark,Lord Mace Tyrell,M,A,Lord,Mace,Tyrell,,,
A Game of Thrones,188,Eddard IV,Eddard Stark,The Fat One,M,D,High Septon,?,,,The Fat One,
A Game of Thrones,195,Eddard IV,Eddard Stark,Ser Helman Tallhart,M,D,Ser,Helman,Tallhart,,,
A Game of Thrones,195,Eddard IV,Eddard Stark,Lord Galbart Glover,M,U,Lord,Galbart,Glover,,,
A Game of Thrones,195,Eddard IV,Eddard Stark,Lord Wyman Manderly,M,A,Lord,Wyman,Manderly,,,
A Game of Thrones,198,Tyrion III,Tyrion Lannister,Ser Jaremy Rykker,M,D,Ser,Jaremy,Rykker,,,
A Game of Thrones,200,Tyrion III,Tyrion Lannister,Jyck,M,D,,Jyck,,,,
A Game of Thrones,200,Tyrion III,Tyrion Lannister,Lady Maege Mormont,F,A,Lady,Maege,Mormont,,,
A Game of Thrones,200,Tyrion III,Tyrion Lannister,"Lord Yohn Royce, Bronze Yohn",M,A,Lord,Yohn,Royce,,Bronze Yohn,
A Game of Thrones,202,Tyrion III,Tyrion Lannister,Ser Denys Mallister,M,A,Ser,Denys,Mallister,,,
A Game of Thrones,210,Arya II,Arya Stark,Jeyne Poole,F,A,,Jeyne,Poole,,,
A Game of Thrones,210,Arya II,Arya Stark,Jacks,M,U,,Jacks,,,,
A Game of Thrones,210,Arya II,Arya Stark,Porther,M,D,,Porther,,,,
A Game of Thrones,211,Arya II,Arya Stark,"Tomard, Fat Tom",M,D,,Tomard,,,Fat Tom,
A Game of Thrones,218,Arya II,Arya Stark,Syrio Forel,M,U,,Syrio,Forel,,,
A Game of Thrones,227,Daenerys III,Daenerys Targaryen,"King Aegon III Targaryen, Dragonbane/The Younger",M,D,King,Aegon,Targaryen,,Dragonbane/The Younger,III
A Game of Thrones,243,Eddard V,Eddard Stark,King Maekar I Targaryen,M,D,King,Maekar,Targaryen,,,I
A Game of Thrones,244,Eddard V,Eddard Stark,Maester Colemon,M,A,Maester,Colemon,,,,
A Game of Thrones,245,Eddard V,Eddard Stark,King Jaehaerys II Targaryen,M,D,King,Jaehaerys,Targaryen,,,II
A Game of Thrones,245,Eddard V,Eddard Stark,"King Aegon V Targaryen, The Fortunate/The Unlikely",M,D,King,Aegon,Targaryen,,The Fortunate/The Unlikely,V
A Game of Thrones,246,Eddard V,Eddard Stark,Grand Maester Malleon,M,D,Grand Maester,Malleon,,,,
A Game of Thrones,249,Eddard V,Eddard Stark,"Ser Hugh, Of the Vale",M,D,Ser,Hugh,,,Of the Vale,
A Game of Thrones,252,Jon IV,Jon Snow,Rast,M,D,,Rast,,,,
A Game of Thrones,253,Jon IV,Jon Snow,Albett,M,A,,Albett,,,,
A Game of Thrones,254,Jon IV,Jon Snow,Samwell Tarly,M,A,,Samwell,Tarly,,,
A Game of Thrones,254,Jon IV,Jon Snow,Lord Randyll Tarly,M,A,Lord,Randyll,Tarly,,,
A Game of Thrones,259,Jon IV,Jon Snow,"Qhorin, Halfhand",M,D,,Qhorin,,,Halfhand,
A Game of Thrones,261,Jon IV,Jon Snow,Lord Mathis Rowan,M,A,Lord,Mathis,Rowan,,,
A Game of Thrones,264,Eddard VI,Eddard Stark,Janos Slynt,M,D,,Janos,Slynt,,,
A Game of Thrones,266,Eddard VI,Eddard Stark,"Lann, The Clever",M,F,,Lann,,,The Clever,
A Game of Thrones,268,Eddard VI,Eddard Stark,Lady Margaery Tyrell,F,A,Lady,Margaery,Tyrell,,,
A Game of Thrones,269,Eddard VI,Eddard Stark,Varly,M,D,,Varly,,,,
A Game of Thrones,270,Eddard VI,Eddard Stark,"Lord Beric Dondarrion, The Lightning Lord",M,D,Lord,Beric,Dondarrion,,The Lightning Lord,
A Game of Thrones,271,Eddard VI,Eddard Stark,Tobho Mott,M,A,,Tobho,Mott,,,
A Game of Thrones,272,Eddard VI,Eddard Stark,Gendry,M,A,,Gendry,,,,
A Game of Thrones,276,Catelyn V,Catelyn Tully,Masha Heddle,F,D,,Masha,Heddle,,,
A Game of Thrones,276,Catelyn V,Catelyn Tully,Lord Jason Mallister,M,A,Lord,Jason,Mallister,,,
A Game of Thrones,276,Catelyn V,Catelyn Tully,Patrek Mallister,M,A,,Patrek,Mallister,,,
A Game of Thrones,278,Catelyn V,Catelyn Tully,Lady Shella Whent,F,D,Lady,Shella,Whent,,,
A Game of Thrones,278,Catelyn V,Catelyn Tully,"Lord Walder Frey, The Late Lord Frey",M,A,Lord,Walder,Frey,,The Late Lord Frey,
A Game of Thrones,280,Catelyn V,Catelyn Tully,Marillion,M,D,,Marillion,,,,
A Game of Thrones,280,Catelyn V,Catelyn Tully,"Alia, Of Braavos",F,A,,Alia,,,Of Braavos,
A Game of Thrones,283,Catelyn V,Catelyn Tully,Lord Jonos Bracken,M,A,Lord,Jonos,Bracken,,,
A Game of Thrones,284,Sansa II,Sansa Stark,"Ser Gregor Clegane, The Mountain that Rides",M,D,Ser,Gregor,Clegane,,The Mountain that Rides,
A Game of Thrones,285,Sansa II,Sansa Stark,"Thoros, Of Myr",M,A,,Thoros,,,Of Myr,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Balon Swann,M,A,Ser,Balon,Swann,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Lord Bryce Caron,M,D,Lord,Bryce,Caron,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Andar Royce,M,A,Ser,Andar,Royce,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Robar Royce,M,D,Ser,Robar,Royce,,,
A Game of Thrones,285,Sansa II,Sansa Stark,"Ser Horas Redwyne, Horror",M,A,Ser,Horas,Redwyne,,Horror,
A Game of Thrones,285,Sansa II,Sansa Stark,"Ser Hobber Redwyne, Slobber",M,A,Ser,Hobber,Redwyne,,Slobber,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Jared Frey,M,D,Ser,Jared,Frey,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Hosteen Frey,M,A,Ser,Hosteen,Frey,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Danwell Frey,M,A,Ser,Danwell,Frey,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Emmon Frey,M,A,Ser,Emmon,Frey,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Ser Theo Frey,M,U,Ser,Theo,Frey,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Martyn Rivers,M,U,,Martyn,Rivers,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Jalabhar Xho,M,A,,Jalabhar,Xho,,,
A Game of Thrones,285,Sansa II,Sansa Stark,Lothor Brune,M,A,,Lothor,Brune,,,
A Game of Thrones,290,Sansa II,Sansa Stark,Moon Boy,M,A,,Moon Boy,,,,
A Game of Thrones,297,Eddard VII,Eddard Stark,Lancel Lannister,M,A,,Lancel,Lannister,,,
A Game of Thrones,301,Eddard VII,Eddard Stark,Dacks,M,U,,Dacks,,,,
A Game of Thrones,306,Eddard VII,Eddard Stark,Anguy,M,U,,Anguy,,,,
A Game of Thrones,310,Eddard VII,Eddard Stark,Cayn,M,D,,Cayn,,,,
A Game of Thrones,314,Tyrion IV,Tyrion Lannister,Chiggen,M,D,,Chiggen,,,,
A Game of Thrones,314,Tyrion IV,Tyrion Lannister,Bronn,M,A,,Bronn,,,,
A Game of Thrones,319,Tyrion IV,Tyrion Lannister,Mohor,M,D,,Mohor,,,,
A Game of Thrones,319,Tyrion IV,Tyrion Lannister,Ser Willis Wode,M,A,Ser,Willis,Wode,,,
A Game of Thrones,319,Tyrion IV,Tyrion Lannister,Kurleket,M,D,,Kurleket,,,,
A Game of Thrones,319,Tyrion IV,Tyrion Lannister,Lharys,M,D,,Lharys,,,,
A Game of Thrones,350,Catelyn VI,Catelyn Tully,Godwyn,M,U,,Godwyn,,,,
A Game of Thrones,341,Eddard VIII,Eddard Stark,Lord Roose Bolton,M,A,Lord,Roose,Bolton,,,
A Game of Thrones,346,Eddard VIII,Eddard Stark,Lady Tanda Stokeworth,F,D,Lady,Tanda,Stokeworth,,,
A Game of Thrones,349,Catelyn VI,Catelyn Tully,Ser Donnel Waynwood,M,A,Ser,Donnel,Waynwood,,,
A Game of Thrones,354,Catelyn VI,Catelyn Tully,Lord Nestor Royce,M,A,Lord,Nestor,Royce,,,
A Game of Thrones,358,Catelyn VI,Catelyn Tully,Mya Stone,F,A,,Mya,Stone,,,
A Game of Thrones,359,Catelyn VI,Catelyn Tully,Mychel Redfort,M,A,,Mychel,Redfort,,,
A Game of Thrones,359,Catelyn VI,Catelyn Tully,Ser Lyn Corbray,M,A,Ser,Lyn,Corbray,,,
A Game of Thrones,362,Catelyn VI,Catelyn Tully,Ser Vardis Egen,M,D,Ser,Vardis,Egen,,,
A Game of Thrones,366,Eddard IX,Eddard Stark,Heward,M,D,,Heward,,,,
A Game of Thrones,366,Eddard IX,Eddard Stark,Wyl,M,D,,Wyl,,,,
A Game of Thrones,367,Eddard IX,Eddard Stark,Chataya,F,A,,Chataya,,,,
A Game of Thrones,368,Eddard IX,Eddard Stark,Barra,F,D,,Barra,,,,
A Game of Thrones,368,Eddard IX,Eddard Stark,Lady Selyse Baratheon (Florent),F,A,Lady,Selyse,Baratheon,Florent,,
A Game of Thrones,371,Eddard IX,Eddard Stark,Tregar,M,D,,Tregar,,,,
A Game of Thrones,383,Bran V,Bran Stark,Joseth,M,U,,Joseth,,,,
A Game of Thrones,384,Bran V,Bran Stark,Kyra,F,D,,Kyra,,,,
A Game of Thrones,385,Bran V,Bran Stark,Bessa,F,D,,Bessa,,,,
A Game of Thrones,390,Bran V,Bran Stark,Stiv,M,D,,Stiv,,,,
A Game of Thrones,390,Bran V,Bran Stark,Hali,F,D,,Hali,,,,
A Game of Thrones,390,Bran V,Bran Stark,Osha,F,A,,Osha,,,,
A Game of Thrones,391,Bran V,Bran Stark,Farlen,M,D,,Farlen,,,,
A Game of Thrones,394,Bran V,Bran Stark,Quent,M,U,,Quent,,,,
A Game of Thrones,395,Bran V,Bran Stark,Wallen,M,D,,Wallen,,,,
A Game of Thrones,395,Bran V,Bran Stark,Wayn,M,U,,Wayn,,,,
A Game of Thrones,395,Bran V,Bran Stark,Mord,M,A,,Mord,,,,
A Game of Thrones,405,Tyrion V,Tyrion Lannister,Ser Albar Royce,M,A,Ser,Albar,Royce,,,
A Game of Thrones,405,Tyrion V,Tyrion Lannister,Lord Eon Hunter,M,D,Lord,Eon,Hunter,,,
A Game of Thrones,405,Tyrion V,Tyrion Lannister,Lady Anya Waynwood,F,A,Lady,Anya,Waynwood,,,
A Game of Thrones,409,Eddard X,Eddard Stark,Martyn Cassel,M,D,,Martyn,Cassel,,,
A Game of Thrones,409,Eddard X,Eddard Stark,Theo Wull,M,D,,Theo,Wull,,,
A Game of Thrones,409,Eddard X,Eddard Stark,Ethan Glover,M,D,,Ethan,Glover,,,
A Game of Thrones,409,Eddard X,Eddard Stark,Ser Mark Ryswell,M,D,Ser,Mark,Ryswell,,,
A Game of Thrones,409,Eddard X,Eddard Stark,Lord Willam Dustin,M,D,Lord,Willam,Dustin,,,
A Game of Thrones,409,Eddard X,Eddard Stark,Ser Oswell Whent,M,D,Ser,Oswell,Whent,,,
A Game of Thrones,416,Catelyn VII,Catelyn Tully,Alyssa Arryn,F,D,,Alyssa,Arryn,,,
A Game of Thrones,416,Catelyn VII,Catelyn Tully,Lord Vance,M,D,Lord,?,Vance,,,
A Game of Thrones,416,Catelyn VII,Catelyn Tully,Lord Clement Piper,M,A,Lord,Clement,Piper,,,
A Game of Thrones,420,Catelyn VII,Catelyn Tully,Ser Morton Waynwood,M,A,Ser,Morton,Waynwood,,,
A Game of Thrones,429,Jon V,Jon Snow,Gueren,M,A,,Gueren,,,,
A Game of Thrones,430,Jon V,Jon Snow,"Matthar, Ser Loon",M,A,,Matthar,,,Ser Loon,
A Game of Thrones,430,Jon V,Jon Snow,"Hobb, Three-finger",M,A,,Hobb,,,Three-finger,
A Game of Thrones,432,Jon V,Jon Snow,Cuger,M,A,,Cuger,,,,
A Game of Thrones,433,Jon V,Jon Snow,Clydas,M,A,,Clydas,,,,
A Game of Thrones,433,Jon V,Jon Snow,Chett,M,D,,Chett,,,,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,"Gunthor, Son of Gurn",M,A,,Gunthor,,,Son of Gurn,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,Gurn,M,U,,Gurn,,,,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,"Shagga, Son of Dolf",M,A,,Shagga,,,Son of Dolf,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,Dolf,M,U,,Dolf,,,,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,"Conn, Son of Coratt",M,D,,Conn,,,Son of Coratt,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,Coratt,M,U,,Coratt,,,,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,Torrek,M,A,,Torrek,,,,
A Game of Thrones,444,Tyrion VI,Tyrion Lannister,Jaggot,M,A,,Jaggot,,,,
A Game of Thrones,447,Eddard XI,Eddard Stark,Ser Karyl Vance,M,A,Ser,Karyl,Vance,,,
A Game of Thrones,447,Eddard XI,Eddard Stark,Ser Arys Oakheart,M,D,Ser,Arys,Oakheart,,,
A Game of Thrones,447,Eddard XI,Eddard Stark,Joss,M,A,,Joss,,,,
A Game of Thrones,449,Eddard XI,Eddard Stark,Ser Marq Piper,M,A,Ser,Marq,Piper,,,
A Game of Thrones,453,Eddard XI,Eddard Stark,Ser Gladden Wylde,M,D,Ser,Gladden,Wylde,,,
A Game of Thrones,453,Eddard XI,Eddard Stark,Lord Lothar Mallery,M,D,Lord,Lothar,Mallery,,,
A Game of Thrones,461,Sansa III,Sansa Stark,Jonquil,F,F,,Jonquil,,,,
A Game of Thrones,461,Sansa III,Sansa Stark,"Ser Florian, The Fool",M,F,Ser,Florian,,,The Fool,
A Game of Thrones,469,Eddard XII,Eddard Stark,Tya Lannister,F,D,,Tya,Lannister,,,
A Game of Thrones,469,Eddard XII,Eddard Stark,Gowen Baratheon,M,D,,Gowen,Baratheon,,,
A Game of Thrones,475,Daenerys V,Daenerys Targaryen,Khal Ogo,M,D,Khal,Ogo,,,,
A Game of Thrones,475,Daenerys V,Daenerys Targaryen,Khalakka Fogo,M,D,Khalakka,Fogo,,,,
