Book	Page	Chapter Name	POV	Full name	Gender	Status	Birth	Death	Culture	Title	Forename	Surname	Old Surname	Alias	Regnal No
A Game of Thrones	36	Eddard I	Eddard Stark	King Joffrey I Baratheon	M	D	286 AC	300 AC	Crownlander	Prince, King	Joffrey	Baratheon		Joffrey the Illborn, The Young Usurper, Aerys the 3rd, Joffrey-called-Baratheon	I
A Game of Thrones	36	Eddard I	Eddard Stark	Tyrion Lannister, The Imp	M	A	273 AC		Westermen	Hand of the King (acting in place of Tywin Lannister), Master of Coin, Lord (claimant)	Tyrion	Lannister		The Imp, Halfman, Boyman, Giant of Lannister, Lord Imp, Lord Tywin's Doom, Lord Tywin's Bane, Yollo, Hugor Hill, No-Nose, Freak, Redhands	
A Game of Thrones	37	Eddard I	Eddard Stark	King Balon IX Greyjoy	M	D	255 - 261 AC	299 AC	Ironborn	King, Lord, Son of the Sea Wind, The Greyjoy, Captain of the Great Kraken	Balon	Greyjoy		Balon the Brave, Balon the Blessed, Balon the Twice Crowned, Balon the Widowmaker, The wet king, The kraken king, The iron king	IX
A Game of Thrones	39	Eddard I	Eddard Stark	Lyanna Stark	F	H	266 or 267 AC	283 AC	Northmen		Lyanna	Stark		The She-Wolf, The Wolf Maid, Lya, Wolf girl	
A Game of Thrones	39	Eddard I	Eddard Stark	Lord Rickard Stark	M	H	230 - 249 AC	282 AC	Northmen	Lord	Rickard	Stark			
A Game of Thrones	39	Eddard I	Eddard Stark	Brandon Stark, Brother of Eddard	M	H	262 AC	282 AC	Northmen		Brandon	Stark		The Wild Wolf	
A Game of Thrones	40	Eddard I	Eddard Stark	Lord Howland Reed	M	A	260 - 265 AC		Crannogmen	Lord	Howland	Reed			
A Game of Thrones	41	Eddard I	Eddard Stark	Lord Tywin Lannister	M	D	242 AC	300 AC	Westermen	Lord, Hand of the King, Savior of the City, Ser, Cupbearer, Page	Tywin	Lannister		The Lion of Lannister, The Old Lion, The Great Lion of the Rock	
A Game of Thrones	47	Jon I	Jon Snow	Princess Myrcella Baratheon	F	A	290 AC		Crownlander	Princess	Myrcella	Baratheon			
A Game of Thrones	51	Jon I	Jon Snow	King Daeron I Targaryen	M	H	143 AC	161 AC	Crownlander	King	Daeron	Targaryen		The Young Dragon, The Boy King	I
A Game of Thrones	54	Jon I	Jon Snow	Lady Joanna Lannister	F	H	245 - 250 AC	273 AC	Westermen	Lady	Joanna	Lannister			
A Game of Thrones	55	Catelyn II	Catelyn Tully	Lord Edmure Tully	M	A	267 - 274 AC		Rivermen	Ser, Lord (attainted), Squire	Edmure	Tully			
A Game of Thrones	62	Catelyn II	Catelyn Tully	Ser Arthur Dayne, Sword of the Morning	M	H	260 AC or before	283 AC	Dornishmen	Ser, Sword of the Morning	Arthur	Dayne		Sword of the Morning	
A Game of Thrones	63	Catelyn II	Catelyn Tully	Ashara Dayne	F	H	260 - 269 AC	283 AC	Dornishmen		Ashara	Dayne			
A Game of Thrones	64	Arya I	Arya Stark	Septa Mordane	F	D	?	298 AC	?	Septa at Winterfell	Mordane				
A Game of Thrones	64	Arya I	Arya Stark	Beth Cassel	F	A	288 AC		Northmen		Beth	Cassel			
A Game of Thrones	64	Arya I	Arya Stark	Jeyne Poole	F	A	Around 286 AC		Northmen		Jeyne	Poole		Arya Stark	
A Game of Thrones	65	Arya I	Arya Stark	Vayon Poole	M	D	?	298 AC	Northmen	Steward at Winterfell	Vayon	Poole			
A Game of Thrones	67	Arya I	Arya Stark	Princess Nymeria, of Ny Sar	F	H	Around 700 BC		Rhoynar	Princess	Nymeria			Nymeria of the Rhoyne, The Warrior Queen	
A Game of Thrones	69	Arya I	Arya Stark	Lew	M	U	?		Northmen		Lew				
A Game of Thrones	69	Arya I	Arya Stark	Donnis	M	U	?		Northmen		Donnis				
A Game of Thrones	73	Bran II	Bran Stark	Ser Serwyn, Of the Mirror Shield	M	F	Age of Heroes		First Men	Ser (in songs and tales)	Serwyn			Of the Mirror Shield	
A Game of Thrones	73	Bran II	Bran Stark	Ser Ryam Redwyne	M	H	?	105 AC	Reachmen	Ser, Hand of the King, Lord Commander of the Kingsguard	Ryam	Redwyne			
A Game of Thrones	73	Bran II	Bran Stark	Prince Aemon Targaryen, The Dragonknight	M	H	136 AC	178 - 183 AC	Crownlander	Prince, Ser, Lord Commander of the Kingsguard	Aemon	Targaryen		The Dragonknight, The Knight of Tears	
A Game of Thrones	73	Bran II	Bran Stark	Ser Erryk Cargyll	M	H	?	129 AC	Crownlander	Ser	Erryk	Cargyll			
A Game of Thrones	73	Bran II	Bran Stark	Ser Arryk Cargyll	M	H	?	129 AC	Crownlander	Ser	Arryk	Cargyll			
A Game of Thrones	73	Bran II	Bran Stark	Ser Gerold Hightower, The White Bull	M	H	?	283 AC	Reachmen	Ser, Lord Commander of the Kingsguard	Gerold	Hightower		The White Bull	
A Game of Thrones	73	Bran II	Bran Stark	Ser Barristan Selmy	M	A	236 or 237 AC		Stormlander	Squire, Ser, Lord Commander of the Kingsguard, Lord Commander of the Queensguard, Hand of the Queen	Barristan	Selmy		Barristan the Bold, Barristan the Old, Arstan Whitebeard, Ser Grandfather, Old Ser, Lord Hand	
A Game of Thrones	73	Bran II	Bran Stark	Ser Boros Blount	M	A	?		Crownlander	Ser	Boros	Blount		Boros the Belly	
A Game of Thrones	73	Bran II	Bran Stark	Ser Meryn Trant	M	A	?		Stormlander	Ser	Meryn	Trant			
A Game of Thrones	73	Bran II	Bran Stark	Gage	M	U	?		Northmen		Gage				
A Game of Thrones	73	Bran II	Bran Stark	Mikken	M	D	?	299 AC	Northmen		Mikken				
A Game of Thrones	73	Bran II	Bran Stark	Walder, Hodor	M	A	?		Northmen		Walder			Hodor	
A Game of Thrones	78	Bran II	Bran Stark	King Renly I Baratheon	M	D	277 AC	299 AC	Stormlander	Lord, Master of laws, King (claimant)	Renly	Baratheon		The King in Highgarden, The King in the South	I
A Game of Thrones	78	Bran II	Bran Stark	Lord Petyr Baelish, Littlefinger	M	A	268 AC		Valemen	Lord, Master of coin, Lord Protector	Petyr	Baelish		Littlefinger, Lord Littlefinger	
A Game of Thrones	82	Tyrion I	Tyrion Lannister	Grand Maester Aethelmure	M	H	?	?	?	Grand Maester	Aethelmure				
A Game of Thrones	82	Tyrion I	Tyrion Lannister	Septon Chayle	M	D	?	299 AC	?	Septon at Winterfell	Chayle				
A Game of Thrones	82	Tyrion I	Tyrion Lannister	Ayrmidon	M	H	?	?	Valyrian		Ayrmidon				
A Game of Thrones	98	Daenerys II	Daenerys Targaryen	Irri	F	A	283 or 284 AC		Dothraki		Irri				
A Game of Thrones	98	Daenerys II	Daenerys Targaryen	Jhiqui	F	A	284 AC		Dothraki		Jhiqui				
A Game of Thrones	98	Daenerys II	Daenerys Targaryen	Doreah	F	D	278 or 279 AC	299 AC	Lysene		Doreah				
A Game of Thrones	104	Eddard II	Eddard Stark	Alyn, Guard at Winterfell	M	D	?	298 AC	Northmen		Alyn			Guard at Winterfell	
A Game of Thrones	105	Eddard II	Eddard Stark	Becca	F	U	?		?		Becca				
A Game of Thrones	105	Eddard II	Eddard Stark	Wylla	F	U	?		Dornishmen		Wylla				
A Game of Thrones	106	Eddard II	Eddard Stark	King Baelor I Targaryen, The Blessed	M	H	144 AC	171 AC	Crownlander	King, Septon	Baelor	Targaryen		The Beloved, the Blessed,the Befuddled	I
A Game of Thrones	106	Eddard II	Eddard Stark	Varys, The Spider	M	A	?		Lysene	Master of whisperers, Undergoaler	Varys			Lord Varys, the King's Spider, the eunuch, the Spider, Rugen	
A Game of Thrones	114	Tyrion II	Tyrion Lannister	Morrec	M	D	?	298 AC	?		Morrec				
A Game of Thrones	114	Tyrion II	Tyrion Lannister	Jyck	M	D	?	298 AC	?		Jyck				
A Game of Thrones	114	Tyrion II	Tyrion Lannister	Yoren	M	D	?	299 AC	?		Yoren				
A Game of Thrones	117	Tyrion II	Tyrion Lannister	King Loren I Lannister, the Last	M	H	? BC	2 BC or after	Westermen	King, Lord	Loren	Lannister		The Last	I
A Game of Thrones	117	Tyrion II	Tyrion Lannister	King Mern IX Gardener	M	H	? BC	2 BC	Reachmen	King	Mern	Gardener			IX
A Game of Thrones	128	Catelyn III	Catelyn Tully	Hallis Mollen	M	U	?		Northmen	Captain of the guards	Hallis	Mollen		Hal	
A Game of Thrones	134	Sansa I	Sansa Stark	Mycah	M	D	285 AC	298 AC	?		Mycah			The butcher's boy	
A Game of Thrones	140	Sansa I	Sansa Stark	Ser Ilyn Payne	M	A	?		Westermen	Ser, Captain of the guards, King's Justice	Ilyn	Payne			
A Game of Thrones	141	Sansa I	Sansa Stark	Princess Daeryssa	F	F	Age of Heroes		First Men	Princess	Daeryssa				
A Game of Thrones	142	Sansa I	Sansa Stark	Queen Naerys Targaryen	F	H	138 AC	179 - 184 AC	Crownlander	Queen, Princess	Naerys	Targaryen			
A Game of Thrones	142	Sansa I	Sansa Stark	Ser Morgil Hastwyck	M	H	?	?	Reachmen	Ser	Morgil	Hastwyck			
A Game of Thrones	148	Eddard III	Eddard Stark	Lord Raymun Darry	M	D	?	298 AC	Rivermen	Lord, Ser	Raymun	Darry			
A Game of Thrones	159	Catelyn IV	Catelyn Tully	Captain Moreo Tumitis	M	A	268 AC or before		Tyroshi	Captain of Storm Dancer	Moreo	Tumitis			
A Game of Thrones	160	Catelyn IV	Catelyn Tully	Ser Aron Santagar	M	D	?	299 AC	Dornishmen	Ser, Master-at-arms	Aron	Santagar			
A Game of Thrones	162	Catelyn IV	Catelyn Tully	King Maegor I Targaryen, The Cruel	M	H	12 AC	48 AC	Crownlander	King, Prince, Hand of the King, Ser	Maegor	Targaryen		The Cruel, The Prince of Dragonstone	I
A Game of Thrones	169	Catelyn IV	Catelyn Tully	Ser Loras Tyrell, Knight of Flowers	M	U	282 AC		Reachmen	Page, Squire, Ser, Lord Commander of the Rainbow Guard	Loras	Tyrell		The Knight of Flowers, Knight o' Pansies, Ser Daisy, Renly's little rose	
A Game of Thrones	170	Jon III	Jon Snow	Grenn, Aurochs	M	A	281 or 282 AC		?		Grenn			Aurochs	
A Game of Thrones	170	Jon III	Jon Snow	Ser Alliser Thorne	M	U	Roughly 248 AC		Crownlander	Ser, Master-at-arms	Alliser	Thorne			
A Game of Thrones	170	Jon III	Jon Snow	Jeren	M	U	?		?		Jeren				
A Game of Thrones	170	Jon III	Jon Snow	Todder, Toad	M	A	?		?		Todder			Toad	
A Game of Thrones	171	Jon III	Jon Snow	Dareon, Lover, the Black Singer	M	D	?	300 AC	Reachmen		Dareon			Lover, The Black Singer	
A Game of Thrones	171	Jon III	Jon Snow	Pypar	M	A	?		?		Pypar			Pyp, Monkey, Mummer's Monkey	
A Game of Thrones	171	Jon III	Jon Snow	Halder, Stone Head	M	A	281 or 282 AC		?		Halder			Stone Head	
A Game of Thrones	172	Jon III	Jon Snow	Maester Aemon (Targaryen)	M	D	198 AC	300 AC	Crownlander	Maester at Castle Black, Prince	Aemon	/	Targaryen	Maester Aemon, Uncle Maester	
A Game of Thrones	174	Jon III	Jon Snow	Donal Noye	M	D	244 - 252 AC	300 AC	Stormlander		Donal	Noye			
A Game of Thrones	175	Jon III	Jon Snow	Cotter Pyke	M	A	?		Ironborn	Commander of Eastwatch-by-the-Sea, Captain of Talon	Cotter	Pyke			
A Game of Thrones	178	Jon III	Jon Snow	Bowen Marsh, the Old Pomegranate	M	A	?		Northmen	First/Lord Steward, Castellan	Bowen	Marsh		The Old Pomegranate	
A Game of Thrones	180	Jon III	Jon Snow	Lord Yohn Royce, Bronze Yohn	M	A	?		Valemen	Lord	Yohn	Royce		Bronze Yohn	
A Game of Thrones	188	Eddard IV	Eddard Stark	Lord Mace Tyrell	M	A	256 AC		Reachmen	Lord, Hand of the King, Master of ships	Mace	Tyrell		Lord Oaf, The Fat Flower, Lord Puff Fish	
A Game of Thrones	188	Eddard IV	Eddard Stark	Nicknamed, The Fat One, High Septon (from ? to 299 AC)	M	D	?	299 AC	?	High Septon	?			The Fat One	
A Game of Thrones	195	Eddard IV	Eddard Stark	Ser Helman Tallhart	M	D	?	299 AC	Northmen	Ser, Master of Torrhen's Square	Helman	Tallhart			
A Game of Thrones	195	Eddard IV	Eddard Stark	Master Galbart Glover	M	U	?		Northmen	Master of Deepwood Motte	Galbart	Glover			
A Game of Thrones	195	Eddard IV	Eddard Stark	Lord Wyman Manderly	M	A	239 - 242 AC		Northmen	Lord, Knight of the Order of the Green Hand	Wyman	Manderly		Lord Lamprey, Lord Too-Fat-to-Sit-a-Horse, Lord Pig, Lord Lard	
A Game of Thrones	198	Tyrion III	Tyrion Lannister	Ser Jaremy Rykker	M	D	?	298 AC	Crownlander	Ser, First Ranger (acting)	Jaremy	Rykker			
A Game of Thrones	200	Tyrion III	Tyrion Lannister	Lady Maege Mormont	F	A	239 - 257 AC		Northmen	Lady	Maege	Mormont		The She-Bear	
A Game of Thrones	202	Tyrion III	Tyrion Lannister	Ser Denys Mallister	M	A	245 AC or before		Rivermen	Squire, Ser, Commander of Shadow Tower	Denys	Mallister			
A Game of Thrones	210	Arya II	Arya Stark	Jacks	M	U	?		Northmen		Jacks				
A Game of Thrones	210	Arya II	Arya Stark	Porther	M	D	?		Northmen		Porther				
A Game of Thrones	211	Arya II	Arya Stark	Tomard, Fat Tom	M	D	249 - 253 AC	298 AC	Northmen		Tomard			Fat Tom	
A Game of Thrones	218	Arya II	Arya Stark	Syrio Forel	M	U	?	298 AC	Braavosi	First Sword	Syrio	Forel			
A Game of Thrones	224	Daenerys III	Daenerys Targaryen	Jhogo	M	A	281 - 283 AC		Dothraki	Ko, Bloodrider	Jhogo				
A Game of Thrones	224	Daenerys III	Daenerys Targaryen	Quaro	M	D	?	298 AC	Dothraki		Quaro				
A Game of Thrones	227	Daenerys III	Daenerys Targaryen	King Aegon III Targaryen	M	H	120 AC	157 AC	Crownlander	Prince, King	Aegon	Targaryen		Aegon the Younger, the Dragonbane, the Unlucky, The Broken King	III
A Game of Thrones	231	Bran IV	Bran Stark	Brandon Stark, son of Willam Stark and Lyanne Glover	M	H	?	?	Northmen		Brandon	Stark			
A Game of Thrones	231	Bran IV	Bran Stark	Lady Lyanne Glover/Stark	F	H	?	?	Northmen	Lady	Lyanne	Stark	Glover		
A Game of Thrones	234	Bran IV	Bran Stark	Nicknamed, The Last Hero	M	F	Age of Heroes		First Men		?			The Last Hero	
A Game of Thrones	243	Eddard V	Eddard Stark	King Maekar I Targaryen	M	H	174 - 178 AC	233 AC	Crownlander	Prince, King	Maekar	Targaryen		The Anvil	I
A Game of Thrones	244	Eddard V	Eddard Stark	Maester Colemon	M	A	?		?	Maester at the Eyrie	Colemon				
A Game of Thrones	245	Eddard V	Eddard Stark	King Jaehaerys II Targaryen	M	H	225 AC	262 AC	Crownlander	King	Jaehaerys	Targaryen			II
A Game of Thrones	245	Eddard V	Eddard Stark	King Aegon V Targaryen	M	H	200 AC	259 AC	Crownlander	Prince, King, Squire, Page	Aegon	Targaryen		The Unlikely, the Fortunate, Egg, The Prince Who Was An Egg	V
A Game of Thrones	246	Eddard V	Eddard Stark	Grand Maester Malleon	M	H	?	?	?	Grand Maester	Malleon				
A Game of Thrones	249	Eddard V	Eddard Stark	Ser Vardis Egen	M	D	249 - 253 AC	298 AC	Valemen	Ser, Captain of the guards	Vardis	Egen			
A Game of Thrones	249	Eddard V	Eddard Stark	Ser Hugh, Of the Vale	M	D	?	298 AC	Valemen	Ser, Squire	Hugh			Of the Vale	
A Game of Thrones	251	Jon IV	Jon Snow	Samwell Tarly	M	A	283 AC		Reachmen	Novice of the Citadel	Samwell	Tarly		Sam, Ser Piggy, Lady Piggy, Lord of Ham, Sam the Slayer, Black Sam	
A Game of Thrones	252	Jon IV	Jon Snow	Rast, Rat	M	D	?	299 AC	?		Rast			Rat	
A Game of Thrones	253	Jon IV	Jon Snow	Albett, Pimple	M	A	?		?		Albett			Pimple	
A Game of Thrones	254	Jon IV	Jon Snow	Lord Randyll Tarly	M	A	?		Reachmen	Lord, Justiciar/Master of laws	Randyll	Tarly			
A Game of Thrones	254	Jon IV	Jon Snow	Lady Melessa Florent/Tarly	F	A	?		Reachmen	Lady	Melessa	Tarly	Florent		
A Game of Thrones	259	Jon IV	Jon Snow	Qhorin, Halfhand	M	D	?	299 AC	?		Qhorin			Halfhand	
A Game of Thrones	260	Jon IV	Jon Snow	Talla Tarly	F	A	284 - 287 AC		Reachmen		Talla	Tarly			
A Game of Thrones	260	Jon IV	Jon Snow	Dickon Tarly	M	A	287 - 290 AC		Reachmen	Squire	Dickon	Tarly			
A Game of Thrones	261	Jon IV	Jon Snow	Lord Mathis Rowan	M	A	?		Reachmen	Lord	Mathis	Rowan			
A Game of Thrones	264	Eddard VI	Eddard Stark	Lord Janos Slynt	M	D	260 - 278 AC	300 AC	Crownlander	Captain of the Iron Gate, Commander of the City Watch of King's Landing, Lord	Janos	Slynt			
A Game of Thrones	265	Eddard VI	Eddard Stark	Princess Shireen Baratheon	F	A	289 AC		Stormlander	Princess (claimant)	Shireen	Baratheon			
A Game of Thrones	266	Eddard VI	Eddard Stark	Lann the Clever	M	F	Age of Heroes		First Men	King (posthumously)	Lann	Lannister		The Clever	
A Game of Thrones	267	Eddard VI	Eddard Stark	Master Tobho Mott	M	A	?		Qohorik	Master	Tobho	Mott			
